NOMBRE;LATITUD;LONGITUD;DIRECCIÓN;CONSORCIO ;TIPO DE BANCA;HORARIO DE TRABAJO;LOTERIA NACIONAL;LEIDSA;LOTO REAL;LOTEKA;DEPORTIVAS ;RECARGA TARJETAS;NUMERO DE EMPLEADOS;CANTIDAD DE MAQUINAS;PROMEDIO DE CLIENTES/ DIAS;CONDICIONES DE ACCESIBILIDAD VIAL (BUENA O MALA);PRIMER LUGAR ($RD)  1;SEGUNDO LUGAR ($RD) 2;TERCER LUGAR ($RD) 3;PRIMER LUGAR ($RD) 4;SEGUNDO LUGAR ($RD) 5;TERCER LUGAR ($RD) 6;PRIMER LUGAR ($RD) 7;SEGUNDO LUGAR ($RD) 8;TERCER LUGAR ($RD) 9;Primer y Segundo lugar ($RD)10;Primer y Tercer lugar ($RD)11;Segundo Y  Tercer lugar($RD) 12;Primer y Segundo lugar ($RD)13;Primer y Tercer lugar ($RD)14;Segundo Y  Tercer lugar($RD 15;Primer y Segundo lugar ($RD)16;Primer y Tercer lugar ($RD)17;Segundo Y  Tercer lugar($RD18;Primer, Segundo y Tercer lugar ($RD)19;Primer y Segundo lugar ($RD)20;Segundo Y  Tercer lugar($RD)21;Primer, Segundo y Tercer lugar ($RD)22;Primer y Segundo lugar ($RD)23;Segundo Y  Tercer lugar($RD)24
QUISQUEYA;18.481647;-69.90237778;Calle Dr. Tejada Florentino;CONSORCIO DE BANCA QUISQUEYA;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;NO;2;1;92 USUARIOS  EN 3:30 HORAS;MALAS;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
O&M;18.482083;-69.90263889;Calle Manuel Ubaldo Gomez;CONSORCIO DE BANCA O&M;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;SI;1;1;93 USUARIOS  EN 3:30 HORAS;BUENAS ;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
MICKEY;18.482969;-69.90332778;Calle Charles Piet;CONSORCIO DE BANCA MICKEY;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;SI;1;1;94 USUARIOS  EN 3:30 HORAS;BUENAS ;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
PRONOSTICO SPORT;18.482986;-69.90331667;Calle Charles Piet;CONSORCIO DE BANCA PRONOSTICO SPORT;Deportiva;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;si;SI;1;2;95 USUARIOS  EN 3:30 HORAS;BUENAS ;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
LOS DINAMICOS;18.483131;-69.903725;Calle Juan De Morfa;CONSORCIO DE BANCA LOS DINAMICOS;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;SI;1;1;96 USUARIOS  EN 3:30 HORAS;BUENAS ;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
SOÑADORA;18.482994;-69.90455444;Calle Marcos Adon;CONSORCIO DE BANCA SOÑADORA;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;SI;1;1;97 USUARIOS  EN 3:30 HORAS;BUENAS ;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
JOSELITO;18.482194;-69.904525;Calle Fco. Henrique Y Carvajal;CONSORCIO DE BANCA JOSELITO;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;SI;1;1;98 USUARIOS  EN 3:30 HORAS;BUENAS ;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
LOS DINAMICOS;18.482247;-69.90407778;Calle Fco. Henrique Y Carvajal;CONSORCIO DE BANCA LOS DINAMICOS;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;SI;1;1;99 USUARIOS  EN 3:30 HORAS;BUENAS ;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
QUISQUEYA;18.483286;-69.90181944;Calle Dr. Tejada Florentino;CONSORCIO DE BANCA QUISQUEYA;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;NO;1;1;100 USUARIOS  EN 3:30 HORAS;BUENAS ;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
PODEROSA SPORT;18.483439;-69.90177778;Calle Juan De Morfa;CONSORCIO DE BANCA PODEROSA SPORT;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;SI;1;3;101 USUARIOS  EN 3:30 HORAS;MALAS;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
