NOMBRE;LATITUD;LONGITUD;DIRECCIÓN;CONSORCIO ;TELEFONOS ;TIPO DE BANCA;HORARIO DE TRABAJO;LOTERIA NACIONAL;LEIDSA;LOTO REAL;LOTEKA;DEPORTIVAS ;RECARGA TARJETAS;NUMERO DE EMPLEADOS;CANTIDAD DE MAQUINAS;PROMEDIO DE CLIENTES/ DIAS;CONDICIONES DE ACCESIBILIDAD VIAL (BUENA O MALA)
QUISQUEYA;18.481647;-69.90237778;Calle Dr. Tejada Florentino;CONSORCIO DE BANCA QUISQUEYA;;Loteria;09:00 AM – 09:00 PM;SI;SI;SI;SI;NO;SI;2;1;2;BUENAS 
O&M;18.482083;-69.90263889;Calle Manuel Ubaldo Gomez;CONSORCIO DE BANCA O&M;;Loteria;09:00 AM – 09:00 PM;SI;SI;SI;SI;NO;SI;2;1;2;BUENAS 
MICKEY;18.482969;-69.90332778;Calle Charles Piet;CONSORCIO DE BANCA MICKEY;;Loteria;09:00 AM – 09:00 PM;SI;SI;SI;SI;NO;SI;2;1;2;BUENAS 
PRONOSTICO SPORT;18.482986;-69.90331667;Calle Charles Piet;CONSORCIO DE BANCA PRONOSTICO SPORT;;Deportiva;09:00 AM – 09:00 PM;SI;SI;SI;SI;SI;SI;6;2;2;BUENAS 
LOS DINAMICOS;18.483131;-69.903725;Calle Juan De Morfa;CONSORCIO DE BANCA LOS DINAMICOS;;Loteria;09:00 AM – 09:00 PM;SI;SI;SI;SI;NO;SI;2;1;2;BUENAS 
SOÑADORA;18.482994;-69.90455444;Calle Marcos Adon;CONSORCIO DE BANCA SOÑADORA;;Loteria;09:00 AM – 09:00 PM;SI;SI;SI;SI;NO;SI;3;1;2;BUENAS 
JOSELITO;18.482194;-69.904525;Calle Fco. Henrique Y Carvajal;CONSORCIO DE BANCA JOSELITO;;Loteria;09:00 AM – 09:00 PM;SI;SI;SI;SI;NO;SI;2;1;2;BUENAS 
LOS DINAMICOS;18.482247;-69.90407778;Calle Fco. Henrique Y Carvajal;CONSORCIO DE BANCA LOS DINAMICOS;;Loteria;09:00 AM – 09:00 PM;SI;SI;SI;SI;NO;SI;3;1;2;BUENAS 
QUISQUEYA;18.483286;-69.90181944;Calle Dr. Tejada Florentino;CONSORCIO DE BANCA QUISQUEYA;;Loteria;09:00 AM – 09:00 PM;SI;SI;SI;SI;NO;SI;2;1;2;BUENAS 
PODEROSA SPORT;18.483439;-69.90177778;Calle Juan De Morfa;CONSORCIO DE BANCA PODEROSA SPORT;;Deportiva;09:00 AM – 09:00 PM;SI;SI;SI;SI;NO;SI;8;3;2;BUENAS 
SAN MIGUEL;18.483453;-69.90157222;Calle Juan De Morfa;CONSORCIO DE BANCA SAN MIGUEL;;Loteria;09:00 AM – 09:00 PM;SI;SI;SI;SI;NO;SI;2;1;2;BUENAS 
O.D.R;18.483431;-69.901552;Calle Juan De Morfa;CONSORCIO DE BANCA O.D.R;;Loteria;09:00 AM – 09:00 PM;SI;SI;SI;SI;NO;SI;5;2;2;BUENAS 
LA DINAMICA;18.484225;-69.90080833;Calle Oviedo;CONSORCIO DE BANCA LA DINAMICA;;Loteria;09:00 AM – 09:00 PM;SI;SI;SI;SI;NO;SI;2;1;2;BUENAS 
LOTEKA;18.484658;-69.90081111;Calle Felipe Vicini Perdomo;CONSORCIO DE BANCA LOTEKA;;Loteria;09:00 AM – 09:00 PM;SI;SI;SI;SI;NO;SI;2;1;2;BUENAS 
LOTEKA;18.484211;-69.90031667;Calle Tunti Caceres ;CONSORCIO DE BANCA LOTEKA;;Loteria;09:00 AM – 09:00 PM;SI;SI;SI;SI;NO;SI;2;1;2;BUENAS 
DANIEL;18.484733;-69.90016667;Calle Tunti Caceres;CONSORCIO DE BANCA DANIEL;;Loteria;09:00 AM – 09:00 PM;SI;SI;SI;SI;NO;SI;2;1;2;BUENAS 
